Sales,prev_sales,Store_sales_rating,store_visiblity,Road_connectivity,Prime_location,Seating_area,sqft_area,yr_establishment,Cus_rating,Type1,times,Type2,times,Type3,times,Type4,times,Type5,times,Comp_Score,Product_type,product_placement,Product_size,product_visiblity
110700,97416,0,0.098,1,0,0,780,2011,5,-10,3,-8,0,-6,0,-4,5,-2,1,-0.173333333,3,4,8,0.068
111300,91266,1,0.146,1,0,0,1160,1978,4,-10,4,-8,0,-6,7,-4,4,-2,0,-0.326666667,10,9,10,0.106
112000,107520,0,0.095,1,0,0,1180,1963,6,-10,7,-8,9,-6,9,-4,8,-2,6,-0.8,7,9,8,0.108
114000,108300,1,0.171,1,0,0,830,1998,5,-10,0,-8,3,-6,0,-4,5,-2,7,-0.193333333,4,7,10,0.073
114980,98882.8,0,0.078,1,0,0,840,2012,1,-10,5,-8,2,-6,0,-4,5,-2,7,-0.333333333,8,8,4,0.074
115000,108100,1,0.126,1,0,0,1100,1983,2,-10,1,-8,9,-6,5,-4,5,-2,8,-0.493333333,7,10,7,0.1
115000,106950,1,0.142,1,0,0,1250,1962,6,-10,0,-8,10,-6,9,-4,5,-2,3,-0.533333333,3,5,1,0.115
115000,108100,0,0.025,1,0,0,1180,1981,5,-10,9,-8,10,-6,10,-4,7,-2,2,-0.873333333,8,3,6,0.108
115000,106950,1,0.148,1,0,0,890,2000,6,-10,0,-8,6,-6,10,-4,10,-2,1,-0.5,5,1,1,0.079
115000,104650,0,0.033,1,0,0,1180,1950,5,-10,9,-8,6,-6,5,-4,7,-2,8,-0.706666667,8,9,10,0.108
115000,111550,0,0.021,1,0,0,1040,2013,6,-10,4,-8,8,-6,8,-4,0,-2,5,-0.54,9,6,4,0.094
115000,103500,1,0.107,1,0,0,650,1952,2,-10,0,-8,9,-6,0,-4,2,-2,7,-0.313333333,10,10,2,0.055
118000,96760,1,0.167,1,0,0,770,1978,1,-10,1,-8,10,-6,10,-4,1,-2,2,-0.526666667,2,2,8,0.067
118130,106317,0,0.018,1,0,0,890,2014,2,-10,5,-8,0,-6,2,-4,4,-2,1,-0.266666667,7,6,4,0.079
119500,97990,1,0.168,1,0,0,1270,1980,5,-10,1,-8,9,-6,5,-4,0,-2,4,-0.4,3,6,4,0.117
119900,95920,1,0.131,1,0,0,580,1951,4,-10,8,-8,7,-6,7,-4,8,-2,10,-0.766666667,3,3,5,0.048
120000,105600,0,0.064,1,0,0,1360,1954,1,-10,10,-8,0,-6,9,-4,5,-2,3,-0.6,3,10,2,0.126
120000,102000,0,0.037,1,0,0,1250,2013,5,-10,2,-8,4,-6,1,-4,4,-2,4,-0.273333333,2,2,2,0.115
120000,112800,0,0.052,1,0,0,1090,2015,2,-10,10,-8,1,-6,5,-4,9,-2,2,-0.593333333,5,9,8,0.099
120750,113505,0,0.028,1,0,0,1240,1969,2,-10,4,-8,1,-6,1,-4,4,-2,9,-0.293333333,9,1,5,0.114
121800,115710,0,0.024,1,0,0,1040,2017,6,-10,6,-8,6,-6,1,-4,3,-2,8,-0.473333333,5,3,7,0.094
122000,102480,1,0.192,1,0,0,960,2015,1,-10,7,-8,9,-6,0,-4,5,-2,1,-0.546666667,8,1,6,0.086
122000,103700,1,0.178,1,0,0,860,2016,4,-10,6,-8,8,-6,7,-4,9,-2,2,-0.686666667,2,3,6,0.076
122000,98820,0,0.08,1,0,0,830,1953,1,-10,1,-8,2,-6,3,-4,1,-2,10,-0.226666667,2,2,10,0.073
122000,108580,0,0.055,1,0,0,840,2012,5,-10,2,-8,10,-6,4,-4,10,-2,7,-0.593333333,3,5,4,0.074
123000,115620,1,0.129,2,0,0,1150,1964,1,-10,0,-8,7,-6,0,-4,2,-2,0,-0.213333333,9,8,6,0.105
123300,112203,0,0.013,2,0,0,1250,1956,4,-10,5,-8,7,-6,5,-4,4,-2,0,-0.506666667,4,8,9,0.115
124000,105400,1,0.176,2,0,0,940,2019,5,-10,5,-8,3,-6,2,-4,0,-2,4,-0.313333333,10,7,3,0.084
124000,104160,1,0.117,1,0,0,1180,1950,1,-10,0,-8,8,-6,6,-4,0,-2,7,-0.38,8,6,4,0.108
124500,114540,1,0.194,1,0,0,940,1954,6,-10,10,-8,5,-6,8,-4,9,-2,4,-0.773333333,10,10,8,0.084
124740,118503,0,0.068,1,0,0,1440,1978,2,-10,0,-8,8,-6,6,-4,10,-2,2,-0.48,8,3,5,0.134
125000,102500,1,0.136,1,0,0,1020,1961,5,-10,10,-8,1,-6,1,-4,0,-2,0,-0.38,1,1,10,0.092
125000,101250,1,0.178,1,0,0,600,1998,5,-10,10,-8,6,-6,6,-4,5,-2,10,-0.746666667,1,10,2,0.05
125000,116250,1,0.116,1,0,0,1020,1960,3,-10,3,-8,5,-6,9,-4,5,-2,6,-0.52,3,5,8,0.092
125000,108750,0,0.066,1,0,0,910,2012,1,-10,2,-8,8,-6,4,-4,3,-2,5,-0.433333333,6,2,3,0.081
125000,100000,0,0.027,2,0,0,1330,1986,3,-10,4,-8,7,-6,0,-4,10,-2,7,-0.5,10,7,6,0.123
126000,114660,1,0.133,1,0,0,710,1992,1,-10,4,-8,4,-6,9,-4,2,-2,6,-0.486666667,8,5,4,0.061
126500,115115,1,0.115,1,0,0,1230,2012,4,-10,2,-8,7,-6,6,-4,6,-2,8,-0.506666667,4,1,6,0.113
128000,120320,0,0.073,1,0,0,1080,1969,6,-10,4,-8,3,-6,9,-4,10,-2,10,-0.593333333,10,7,5,0.098
128000,103680,0,0.056,1,0,0,1010,1955,2,-10,8,-8,3,-6,1,-4,4,-2,3,-0.44,1,4,2,0.091
128000,113920,0,0.025,1,0,0,1500,1969,4,-10,9,-8,1,-6,4,-4,4,-2,1,-0.466666667,10,7,9,0.14
128750,110725,1,0.152,1,0,0,980,1950,6,-10,3,-8,5,-6,10,-4,7,-2,8,-0.58,4,5,7,0.088
129000,107070,1,0.196,1,0,0,860,2019,1,-10,8,-8,8,-6,1,-4,2,-2,4,-0.553333333,6,2,2,0.076
129000,107070,0,0.063,1,0,0,1250,1950,6,-10,6,-8,9,-6,0,-4,8,-2,9,-0.606666667,3,10,3,0.115
129000,119970,0,0.019,1,0,0,750,1967,6,-10,5,-8,4,-6,6,-4,9,-2,6,-0.553333333,3,4,2,0.065
129890,116901,1,0.129,1,0,0,810,2013,2,-10,3,-8,4,-6,1,-4,10,-2,6,-0.4,9,10,5,0.071
130000,119600,1,0.1,1,0,0,980,1998,2,-10,0,-8,7,-6,9,-4,2,-2,10,-0.46,4,7,10,0.088
130000,123500,0,0.018,1,0,0,1210,1960,2,-10,9,-8,1,-6,3,-4,1,-2,0,-0.4,2,8,6,0.111
130000,110500,0,0.076,1,0,0,890,1951,4,-10,1,-8,1,-6,10,-4,3,-2,9,-0.36,3,10,2,0.079
130000,127400,1,0.173,1,0,0,880,2011,6,-10,6,-8,7,-6,3,-4,2,-2,3,-0.493333333,5,3,8,0.078
130000,122200,0,0.089,1,0,0,1200,1983,3,-10,0,-8,4,-6,3,-4,7,-2,5,-0.293333333,2,8,2,0.11
130000,119600,1,0.116,1,0,0,700,1970,6,-10,1,-8,10,-6,0,-4,5,-2,5,-0.4,3,6,1,0.06
130000,120900,0,0.084,1,0,0,940,1951,1,-10,7,-8,5,-6,9,-4,8,-2,1,-0.66,4,6,9,0.084
130000,114400,1,0.196,2,0,0,1300,1978,4,-10,5,-8,10,-6,3,-4,3,-2,3,-0.553333333,2,8,4,0.12
132500,127200,1,0.119,1,0,0,700,2015,1,-10,10,-8,8,-6,8,-4,7,-2,9,-0.86,2,4,6,0.06
132500,116600,1,0.125,1,0,0,1180,1967,5,-10,2,-8,0,-6,7,-4,1,-2,0,-0.22,9,8,5,0.108
132830,128845.1,1,0.199,1,0,0,1310,1969,5,-10,6,-8,0,-6,10,-4,3,-2,5,-0.473333333,10,7,9,0.121
133000,119700,1,0.104,1,0,0,1080,1968,5,-10,6,-8,9,-6,4,-4,3,-2,5,-0.593333333,7,5,2,0.098
133000,106400,1,0.118,2,0,0,1530,2017,6,-10,8,-8,0,-6,1,-4,1,-2,3,-0.32,3,8,6,0.143
133400,113390,0,0.056,1,0,0,1000,1978,6,-10,10,-8,2,-6,4,-4,4,-2,6,-0.56,6,1,10,0.09
134000,129980,1,0.156,2,0,0,1080,1992,2,-10,7,-8,8,-6,0,-4,5,-2,2,-0.526666667,2,7,9,0.098
134000,131320,1,0.112,1,0,0,750,2012,1,-10,4,-8,4,-6,6,-4,3,-2,8,-0.453333333,3,8,2,0.065
135000,121500,0,0.093,1,0,0,1320,1984,1,-10,4,-8,6,-6,2,-4,0,-2,6,-0.373333333,6,7,3,0.122
135000,132300,1,0.177,1,0,0,890,2012,5,-10,10,-8,9,-6,2,-4,0,-2,5,-0.646666667,10,6,1,0.079
135000,122850,0,0.066,1,0,0,880,2018,4,-10,1,-8,5,-6,7,-4,10,-2,2,-0.453333333,1,10,10,0.078
135000,132300,0,0.055,1,0,0,930,2013,5,-10,9,-8,5,-6,9,-4,0,-2,5,-0.646666667,10,7,2,0.083
135000,130950,1,0.179,1,0,0,1220,1961,5,-10,7,-8,7,-6,7,-4,2,-2,9,-0.646666667,5,7,5,0.112
135000,121500,1,0.197,2,0,0,1560,2010,2,-10,5,-8,0,-6,5,-4,5,-2,5,-0.366666667,3,2,5,0.146
135000,108000,1,0.139,1,0,0,940,2013,2,-10,2,-8,3,-6,8,-4,7,-2,7,-0.446666667,1,7,6,0.084
135000,129600,1,0.108,1,0,0,700,2013,4,-10,1,-8,6,-6,1,-4,4,-2,5,-0.3,9,1,8,0.06
135000,113400,1,0.187,1,0,0,850,2013,6,-10,0,-8,10,-6,5,-4,8,-2,3,-0.493333333,3,1,9,0.075
135000,108000,0,0.063,1,0,0,930,1959,5,-10,10,-8,9,-6,4,-4,4,-2,0,-0.706666667,8,1,3,0.083
135900,110079,0,0.032,1,0,0,860,1950,3,-10,6,-8,4,-6,2,-4,7,-2,3,-0.46,7,2,5,0.076
136500,128310,0,0.064,1,0,0,1520,1962,4,-10,6,-8,10,-6,5,-4,0,-2,4,-0.593333333,3,1,10,0.142
137000,124670,0,0.053,1,0,0,1400,1959,5,-10,10,-8,10,-6,8,-4,2,-2,10,-0.853333333,3,8,10,0.13
137000,115080,1,0.156,1,0,0,1050,1954,2,-10,6,-8,0,-6,0,-4,10,-2,8,-0.386666667,9,5,1,0.095
137120,113809.6,0,0.09,1,0,0,1060,1970,4,-10,0,-8,8,-6,4,-4,5,-2,8,-0.413333333,1,2,7,0.096
137900,124110,0,0.014,1,0,0,680,2012,6,-10,6,-8,0,-6,5,-4,3,-2,8,-0.393333333,6,3,8,0.058
139000,115370,0,0.043,1,0,0,1200,1978,3,-10,9,-8,9,-6,8,-4,4,-2,1,-0.76,8,7,10,0.11
139000,115370,1,0.139,1,0,0,790,2012,2,-10,2,-8,9,-6,1,-4,6,-2,6,-0.446666667,9,6,4,0.069
139000,134830,1,0.165,1,0,0,1510,1966,5,-10,10,-8,3,-6,8,-4,1,-2,1,-0.593333333,9,8,7,0.141
139500,126945,1,0.194,2,0,0,1330,1983,3,-10,2,-8,10,-6,10,-4,5,-2,0,-0.6,1,3,1,0.123
140000,117600,0,0.049,1,0,0,830,1996,1,-10,9,-8,8,-6,0,-4,1,-2,2,-0.54,10,8,5,0.073
140000,124600,0,0.074,2,0,0,1190,1959,4,-10,4,-8,2,-6,6,-4,3,-2,0,-0.346666667,10,2,6,0.109
140000,123200,1,0.123,1,0,0,1160,1959,1,-10,5,-8,3,-6,5,-4,10,-2,10,-0.546666667,10,5,9,0.106
140000,131600,1,0.17,1,0,0,1140,1954,2,-10,7,-8,7,-6,5,-4,8,-2,7,-0.673333333,5,9,3,0.104
140000,134400,1,0.198,1,0,0,1100,1955,3,-10,8,-8,9,-6,6,-4,2,-2,10,-0.72,10,4,8,0.1
140000,113400,0,0.018,1,0,0,1000,2010,5,-10,6,-8,8,-6,5,-4,10,-2,9,-0.706666667,1,10,10,0.09
140000,119000,0,0.073,1,0,0,1190,1955,6,-10,5,-8,1,-6,3,-4,6,-2,0,-0.333333333,7,3,9,0.109
140000,113400,0,0.031,1,0,0,1180,1978,4,-10,7,-8,3,-6,9,-4,4,-2,10,-0.613333333,7,5,10,0.108
140000,128800,1,0.18,2,0,0,1370,1981,4,-10,6,-8,9,-6,10,-4,8,-2,3,-0.766666667,4,5,2,0.127
140000,127400,1,0.116,2,0,0,1300,1966,3,-10,0,-8,1,-6,9,-4,4,-2,5,-0.293333333,5,4,5,0.12
141800,134710,0,0.042,1,0,0,1030,2012,2,-10,7,-8,3,-6,1,-4,6,-2,8,-0.466666667,7,5,3,0.093
142500,139650,1,0.121,1,0,0,790,1987,5,-10,6,-8,8,-6,4,-4,2,-2,0,-0.52,1,3,8,0.069
142500,129675,0,0.018,1,0,0,1540,2018,3,-10,9,-8,7,-6,1,-4,4,-2,1,-0.566666667,2,8,6,0.144
143000,135850,0,0.035,1,0,0,1190,1969,3,-10,9,-8,6,-6,4,-4,2,-2,6,-0.606666667,8,8,7,0.109
144000,141120,1,0.103,1,0,0,1350,1958,6,-10,7,-8,0,-6,2,-4,1,-2,8,-0.34,1,10,3,0.125
144000,115200,0,0.084,1,0,0,1080,2016,6,-10,7,-8,10,-6,0,-4,6,-2,10,-0.646666667,4,9,9,0.098
144980,124682.8,0,0.082,1,0,0,1000,2010,4,-10,4,-8,7,-6,3,-4,9,-2,7,-0.546666667,1,8,5,0.09
145000,120350,0,0.084,1,0,0,1110,1954,6,-10,6,-8,0,-6,7,-4,0,-2,2,-0.353333333,4,3,8,0.101
145000,134850,1,0.14,1,0,0,1110,1960,6,-10,1,-8,1,-6,3,-4,6,-2,3,-0.22,4,3,6,0.101
145000,120350,0,0.054,1,0,0,900,1964,5,-10,2,-8,0,-6,5,-4,5,-2,4,-0.26,8,7,8,0.08
145000,136300,1,0.171,1,0,0,580,2018,1,-10,9,-8,3,-6,9,-4,10,-2,10,-0.76,9,7,2,0.048
145600,128128,1,0.117,1,0,0,1270,1958,4,-10,8,-8,2,-6,9,-4,5,-2,6,-0.606666667,5,5,7,0.117
146000,138700,1,0.194,1,0,0,1000,1969,2,-10,4,-8,8,-6,2,-4,9,-2,3,-0.526666667,7,7,8,0.09
146000,121180,1,0.178,1,0,0,880,2007,2,-10,4,-8,7,-6,7,-4,6,-2,5,-0.573333333,1,10,3,0.078
146300,118503,0,0.06,1,0,0,1300,1975,2,-10,7,-8,4,-6,0,-4,0,-2,8,-0.393333333,6,2,7,0.12
147000,141120,1,0.131,1,0,0,1170,1960,4,-10,8,-8,10,-6,3,-4,4,-2,10,-0.713333333,9,6,9,0.107
147000,123480,0,0.051,1,0,0,1200,1964,4,-10,2,-8,2,-6,10,-4,4,-2,5,-0.406666667,2,5,4,0.11
147200,136896,0,0.07,1,0,0,1520,1954,5,-10,2,-8,3,-6,7,-4,8,-2,1,-0.4,8,4,7,0.142
147400,132660,1,0.171,1,0,0,1180,1955,6,-10,6,-8,8,-6,10,-4,6,-2,5,-0.726666667,3,6,5,0.108
147500,118000,1,0.144,1,0,0,1630,1959,2,-10,9,-8,1,-6,5,-4,9,-2,10,-0.613333333,6,5,6,0.153
147500,138650,0,0.063,1,0,0,1330,1960,6,-10,5,-8,7,-6,10,-4,3,-2,5,-0.626666667,9,5,2,0.123
147500,123900,0,0.044,1,0,0,1110,1969,6,-10,10,-8,8,-6,3,-4,6,-2,0,-0.686666667,3,1,5,0.101
148000,119880,1,0.144,1,0,0,720,2009,5,-10,5,-8,8,-6,3,-4,1,-2,2,-0.466666667,9,7,3,0.062
148000,128760,1,0.17,1,0,0,730,2000,3,-10,10,-8,5,-6,10,-4,9,-2,1,-0.793333333,7,7,8,0.063
148230,120066.3,0,0.051,1,0,0,1500,1968,5,-10,0,-8,5,-6,4,-4,8,-2,3,-0.34,8,3,9,0.14
148900,144433,1,0.162,1,0,0,1800,1967,6,-10,10,-8,10,-6,3,-4,2,-2,8,-0.74,2,4,8,0.17
149000,122180,1,0.106,1,0,0,1800,1955,4,-10,9,-8,9,-6,10,-4,4,-2,5,-0.826666667,9,6,6,0.17
149000,144530,1,0.124,1,0,0,1190,1969,6,-10,1,-8,1,-6,5,-4,0,-2,9,-0.22,8,2,5,0.109
149500,142025,1,0.17,1,0,0,1110,1959,5,-10,1,-8,7,-6,4,-4,1,-2,3,-0.333333333,7,6,5,0.101
149900,125916,1,0.168,1,0,0,1190,1982,1,-10,2,-8,10,-6,10,-4,8,-2,9,-0.7,4,4,1,0.109
150000,147000,0,0.079,1,0,0,1200,2014,6,-10,9,-8,5,-6,2,-4,5,-2,6,-0.58,1,7,6,0.11
150000,133500,1,0.105,1,0,0,1350,1968,5,-10,4,-8,7,-6,2,-4,3,-2,5,-0.433333333,9,7,7,0.125
150000,141000,1,0.158,1,0,0,1340,1969,6,-10,9,-8,4,-6,6,-4,1,-2,5,-0.573333333,9,4,7,0.124
150000,129000,0,0.014,1,0,0,1550,1952,3,-10,7,-8,5,-6,6,-4,3,-2,1,-0.533333333,4,10,6,0.145
150000,130500,0,0.088,1,0,0,820,1982,4,-10,6,-8,9,-6,5,-4,4,-2,8,-0.646666667,6,4,7,0.072
150000,141000,0,0.073,2,0,0,590,1959,3,-10,5,-8,6,-6,6,-4,5,-2,8,-0.566666667,2,8,9,0.049
150000,123000,0,0.037,1,0,0,1420,1979,1,-10,2,-8,8,-6,4,-4,7,-2,2,-0.466666667,10,3,5,0.132
150000,135000,0,0.04,1,0,0,820,1985,2,-10,5,-8,0,-6,0,-4,4,-2,10,-0.286666667,1,7,8,0.072
150000,130500,1,0.135,2,0,0,920,1980,3,-10,8,-8,3,-6,8,-4,6,-2,6,-0.626666667,5,9,10,0.082
150000,136500,1,0.17,2,0,0,990,1998,1,-10,6,-8,9,-6,1,-4,0,-2,8,-0.513333333,8,2,5,0.089
150000,129000,1,0.158,1,0,0,890,2014,2,-10,7,-8,7,-6,0,-4,4,-2,4,-0.5,7,8,1,0.079
150000,138000,1,0.11,1,0,0,930,2013,3,-10,3,-8,0,-6,9,-4,0,-2,9,-0.34,4,3,8,0.083
150000,138000,1,0.11,1,0,0,1330,2019,6,-10,4,-8,2,-6,0,-4,3,-2,8,-0.28,2,4,2,0.123
150000,136500,1,0.117,1,0,0,1420,1959,5,-10,5,-8,0,-6,3,-4,9,-2,8,-0.4,5,2,9,0.132
150000,132000,0,0.067,1,0,0,920,1954,4,-10,4,-8,5,-6,4,-4,5,-2,6,-0.453333333,9,4,7,0.082
150000,120000,0,0.066,2,0,0,1460,1978,5,-10,9,-8,6,-6,3,-4,8,-2,8,-0.68,9,4,7,0.136
150000,145500,0,0.089,1,0,0,970,1957,2,-10,0,-8,2,-6,10,-4,10,-2,10,-0.453333333,2,9,8,0.087
150000,130500,0,0.076,1,0,0,1560,1959,5,-10,8,-8,10,-6,2,-4,9,-2,4,-0.72,5,3,3,0.146
150000,139500,0,0.036,1,0,0,1150,1951,1,-10,0,-8,2,-6,3,-4,6,-2,10,-0.26,6,2,7,0.105
150000,121500,0,0.071,1,0,0,1300,1959,3,-10,2,-8,3,-6,1,-4,2,-2,10,-0.26,5,6,7,0.12
150000,130500,1,0.183,2,0,0,950,1950,4,-10,8,-8,6,-6,1,-4,8,-2,1,-0.56,8,2,5,0.085
150000,142500,1,0.136,1,0,0,1110,1966,2,-10,8,-8,5,-6,9,-4,1,-2,3,-0.613333333,8,1,1,0.101
150000,120000,1,0.134,1,0,0,1060,1962,3,-10,9,-8,5,-6,10,-4,3,-2,2,-0.686666667,7,2,2,0.096
150000,129000,0,0.096,1,0,0,940,1995,1,-10,4,-8,7,-6,5,-4,6,-2,2,-0.513333333,2,1,8,0.084
150000,139500,0,0.035,1,0,0,990,2012,3,-10,0,-8,5,-6,7,-4,3,-2,10,-0.38,9,2,7,0.089
150550,137000.5,0,0.029,2,0,0,1570,2015,2,-10,2,-8,8,-6,10,-4,10,-2,8,-0.666666667,3,6,8,0.147
151000,132880,1,0.187,1,0,0,820,2012,4,-10,1,-8,2,-6,4,-4,2,-2,0,-0.193333333,1,6,7,0.072
151000,140430,0,0.025,1,0,0,820,2019,3,-10,4,-8,2,-6,3,-4,6,-2,10,-0.393333333,4,3,3,0.072
151100,123902,1,0.193,1,0,0,940,1991,5,-10,8,-8,9,-6,6,-4,7,-2,4,-0.746666667,7,1,1,0.084
151600,130376,0,0.08,1,0,0,1160,1954,5,-10,7,-8,0,-6,8,-4,2,-2,4,-0.446666667,3,7,10,0.106
152000,132240,0,0.06,1,0,0,1002,1965,1,-10,8,-8,1,-6,1,-4,4,-2,0,-0.366666667,5,2,4,0.0902
152000,121600,1,0.193,1,0,0,1170,1953,1,-10,5,-8,1,-6,5,-4,6,-2,9,-0.433333333,6,4,10,0.107
152000,121600,0,0.026,1,0,0,1020,1978,3,-10,2,-8,9,-6,5,-4,3,-2,8,-0.5,2,4,5,0.092
152000,145920,0,0.035,1,0,0,1190,1969,6,-10,0,-8,1,-6,7,-4,3,-2,1,-0.213333333,6,8,2,0.109
152000,130720,1,0.196,1,0,0,800,1990,6,-10,1,-8,7,-6,10,-4,0,-2,2,-0.433333333,2,10,2,0.07
152280,143143.2,1,0.113,1,0,0,1120,2007,5,-10,3,-8,9,-6,4,-4,9,-2,5,-0.573333333,5,1,4,0.102
